iter	Passed	Remaining
745	2990	1018
746	2994	1014
747	2998	1010
748	3001	1005
749	3003	1001
750	3007	997
751	3010	992
752	3014	988
753	3027	987
754	3030	983
755	3033	979
756	3036	974
757	3041	970
758	3043	966
759	3046	962
760	3049	957
761	3055	954
762	3058	949
763	3061	945
764	3075	944
765	3079	940
766	3082	936
767	3087	932
768	3092	928
769	3094	924
770	3097	919
771	3102	916
772	3105	912
773	3108	907
774	3111	903
775	3117	899
776	3120	895
777	3122	891
778	3125	886
779	3129	882
780	3133	878
781	3137	874
782	3139	870
783	3143	866
784	3148	862
785	3151	857
786	3153	853
787	3156	849
788	3159	844
789	3164	841
790	3167	836
791	3170	832
792	3173	828
793	3178	824
794	3181	820
795	3185	816
796	3187	811
797	3190	807
798	3194	803
799	3197	799
800	3200	795
801	3203	790
802	3206	786
803	3209	782
804	3214	778
805	3216	774
806	3219	769
807	3222	765
808	3225	761
809	3227	757
810	3230	752
811	3233	748
812	3236	744
813	3240	740
814	3243	736
815	3247	732
816	3250	728
817	3255	724
818	3257	719
819	3260	715
820	3264	711
821	3267	707
822	3270	703
823	3278	700
824	3281	696
825	3286	692
826	3289	688
827	3291	683
828	3294	679
829	3297	675
830	3301	671
831	3304	667
832	3307	663
833	3311	659
834	3315	655
835	3318	650
836	3321	646
837	3323	642
838	3326	638
839	3331	634
840	3333	630
841	3336	626
842	3339	621
843	3341	617
844	3346	613
845	3349	609
846	3352	605
847	3354	601
848	3357	597
849	3361	593
850	3364	589
851	3367	584
852	3369	580
853	3372	576
854	3377	572
855	3380	568
856	3382	564
857	3386	560
858	3388	556
859	3392	552
860	3396	548
861	3398	544
862	3401	539
863	3404	535
864	3407	531
865	3410	527
866	3413	523
867	3415	519
868	3418	515
869	3424	511
870	3427	507
871	3430	503
872	3432	499
873	3438	495
874	3442	491
875	3446	487
876	3449	483
877	3454	479
878	3457	475
879	3460	471
880	3465	468
881	3469	464
882	3472	460
883	3475	456
884	3480	452
885	3484	448
886	3488	444
887	3491	440
888	3494	436
889	3498	432
890	3501	428
891	3503	424
892	3506	420
893	3509	416
894	3511	411
895	3515	408
896	3518	404
897	3522	400
898	3525	396
899	3531	392
900	3538	388
901	3543	384
902	3548	381
903	3556	377
904	3565	374
905	3570	370
906	3575	366
907	3586	363
908	3590	359
909	3596	355
910	3601	351
911	3604	347
912	3610	344
913	3613	339
914	3618	336
915	3622	332
916	3626	328
917	3631	324
918	3639	320
919	3644	316
920	3648	312
921	3655	309
922	3658	305
923	3665	301
924	3672	297
925	3675	293
926	3679	289
927	3683	285
928	3688	281
929	3691	277
930	3694	273
931	3699	269
932	3701	265
933	3704	261
934	3707	257
935	3710	253
936	3716	249
937	3719	245
938	3722	241
939	3725	237
940	3727	233
941	3732	229
942	3734	225
943	3737	221
944	3740	217
945	3743	213
946	3747	209
947	3749	205
948	3752	201
949	3756	197
950	3760	193
951	3763	189
952	3765	185
953	3768	181
954	3771	177
955	3775	173
956	3778	169
957	3782	165
958	3785	161
959	3793	158
960	3796	154
961	3798	150
962	3801	146
963	3803	142
964	3807	138
965	3810	134
966	3812	130
967	3815	126
968	3817	122
969	3820	118
970	3824	114
971	3829	110
972	3832	106
973	3835	102
974	3840	98
975	3844	94
976	3847	90
977	3850	86
978	3857	82
979	3860	78
980	3864	74
981	3869	70
982	3872	66
983	3875	63
984	3877	59
985	3880	55
986	3885	51
987	3888	47
988	3890	43
989	3893	39
990	3896	35
991	3901	31
992	3904	27
993	3906	23
994	3909	19
995	3912	15
996	3916	11
997	3919	7
998	3922	3
999	3925	0
